Jogador,1,2,3,4,5,6,7,8,9,10,11
Breno,0,3.3,5.5,2.6,0,0,0,1.9,-1.7,1.2,0.0
Caju,0,0,0,0,0,0,0,2.6,0.0,7.6,0.0
Daniel Bessa,0,5.2,0.9,7.5,12.1,0,1.6,0.4,-1.0,0.0,0.0
Daniel Oliveira,0,0,0.001,0,5.5,0,0,0,0.0,0.0,0.0
David Duarte,0,0,0,0,0,0,0,2.6,4.2,7.8,0.0
Douglas Baggio,0,4.8,2.3,0.001,2.4,0,0.5,0,0.0,0.0,0.0
Edílson,0,0,0,0,0,0,0,0,-1.0,2.3,0.0
Filipe Trindade,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Fábio Sanches,0,4.5,0.8,4.1,6.2,0,-5.1,-0.1,0.0,3.4,0.0
Gilberto,0,0,0,0,0.1,0,0,0,0.7,0.001,0.0
Henrique Almeida,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Henrique Lordelo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Heron,0,-1.4,1,0.4,0,0,0,0,0.0,0.0,0.0
Ignacio Jara ,0,0.001,0,0,0,0,-0.1,0.3,8.0,0.0,0.0
Jefferson,0,0,0,7.5,4.2,0,2,0.3,0.6,0.001,0.0
Kaio,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Keko ,0,0,0,-0.6,5.2,0,1.1,0,3.9,-0.2,0.0
Lucão,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucão do Break,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marcelo Rangel,0,-5.4,0.5,0,0,0,0,0,0.0,-2.0,0.0
Matheus Alves,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Miguel Figueira,0,0.5,0,0,1.2,0,2.3,0.7,-1.5,0.0,0.0
Mike,0,0,0,0.4,1.3,0,5,0.2,-1.2,0.0,0.0
Pintado,0,-0.7,-2.2,3.8,8,0,2.7,3.6,1.1,0.0,0.0
Quevedo,0,0,0,0,0,0,0.4,0,0.0,0.0,0.0
Rafael Moura,0,0,0,0,-3,0,0,0.2,7.9,-0.9,0.0
Rafael Vaz,0,-2.9,9.4,1.9,5.6,0,2.3,1.6,-4.0,0.0,0.0
Ratinho,0,0,0,0.2,0.2,0,3.1,0,0.0,0.001,0.0
Rezende,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rodrigues,0,0,0.001,0,0,0,0,0,0.0,0.0,0.0
Sandro,0,0,0,0.3,-1.5,0,0.6,0.9,0.0,0.4,0.0
Tadeu,0,0,0,-6.4,7.9,0,-0.7,-0.5,-6.1,11.8,0.0
Thalles,0,0.7,0,0,0,0,0,0,0.0,0.0,0.0
Victor Andrade,0,4.8,5.4,3.1,6.6,0,0,4.2,-3.3,0.0,0.0
Vidal,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Vinícius,0,1.6,0,0,0,0,7.2,1.7,8.0,14.5,0.0
Walisson Pequeno,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Yago Rocha,0,1.9,0,0,0,0,0,0,0.0,0.0,0.0
Zeca,0,0.001,1,-4.2,0,0,0,0,0.0,0.0,0.0
