Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Alisson,M,11.83,0,0,0,0
Brenno,G,1.0,0,0,0,0
Bruno Cortez,L,10.4,0,0,0,0
Darlan,M,4.72,0,0,0,0
David Braz,Z,8.87,0,0,0,0
Diego Souza,A,8.67,0,0,0,0
Diogo Barbosa,L,7.32,0,0,0,0
Everton,M,5.99,0,0,0,0
Fabrício,A,0.77,0,0,0,0
Ferreira,A,5.17,0,0,0,0
Guilherme Azevedo,A,1.29,0,0,0,0
Guilherme Guedes,L,3.0,0,0,0,0
Isaque,A,4.57,0,0,0,0
Jean Pyerre,M,12.85,0,0,0,0
Júlio César,G,4.0,0,0,0,0
Kannemann,Z,11.23,0,0,0,0
Leonardo,L,6.0,0,0,0,0
Lucas Araújo,M,1.0,0,0,0,0
Lucas Silva,M,5.06,0,0,0,0
Luiz Fernando ,A,4.42,0,0,0,0
Maicon,M,3.15,0,0,0,0
Marcelo Oliveira,Z,3.0,0,0,0,0
Matheus Henrique,M,5.78,0,0,0,0
Orejuela,L,8.44,0,0,0,0
Patrick,M,2.74,0,0,0,0
Paulo Miranda,Z,2.64,0,0,0,0
Paulo Victor,G,7.25,0,0,0,0
Pedro Geromel,Z,10.82,0,0,0,0
Pepê,A,13.86,0,0,0,0
Rildo,M,0.77,0,0,0,0
Robinho,M,4.14,0,0,0,0
Rodrigues,Z,2.42,0,0,0,0
Ruan,Z,0.74,0,0,0,0
Thaciano,M,5.18,0,0,0,0
Vanderlei,G,7.79,0,0,0,0
Victor Ferraz,L,6.17,0,0,0,0
