Jogador,1,2,3,4,5,6,7,8,9,10,11
Alisson,2,2.1,8.3,12.5,7.9,0,1.6,7.2,11.3,2.4,5.4
Brenno,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Bruno Cortez,6.5,-0.8,12.4,-0.8,7.4,0,-0.3,0.8,6.9,2.0,0.0
Darlan,2,2.6,0,0,0,0,0,0.9,6.7,3.7,0.4
David Braz,4.9,3.9,0,0.001,6.8,0,0,0.8,5.4,3.0,5.7
Diego Souza,9.6,0,-1.2,-1.2,0,0,0.7,-3,-0.6,9.8,0.4
Diogo Barbosa,0,0,2.5,9.6,2.8,8.3,-0.7,0,0.0,0.0,-0.8
Everton,0,0,0,0,0.1,0,3.8,-0.2,8.0,1.9,0.0
Fabrício,0,0,0,0,0,0,0,0.001,0.0,0.0,0.0
Ferreira,0,0,0,0,0,0,0,0,0.0,0.5,8.3
Guilherme Azevedo,0,0,0,0,0.4,0,0,0,1.2,0.001,2.4
Guilherme Guedes,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Isaque,1,6.6,0.5,0.5,1,0,3.4,8.5,3.3,-1.1,0.8
Jean Pyerre,0,0,9.5,4.3,0.4,0,4.6,0,0.0,0.0,0.0
Júlio César,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Kannemann,4.8,0,5.8,1.3,8.3,0,2.7,2.8,0.0,0.0,0.0
Leonardo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Araújo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Silva,2.4,0.001,0.8,0.7,4.5,0,-0.3,4,0.001,0.0,1.9
Luiz Fernando ,0,0,0.5,10.9,0,0,0,-0.3,4.0,-4.8,0.0
Maicon,-1.2,0,0.9,-0.4,0,0,0,0,0.0,-0.3,0.0
Marcelo Oliveira,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Matheus Henrique,0,0,-3,-0.7,4.6,0,1.2,0.8,-4.8,0.0,0.9
Orejuela,1.8,2.3,5.4,0.2,8.8,0,3.2,0.2,10.9,0.8,0.0
Patrick,0,-0.5,0,0,0,0,0,0,0.0,0.0,0.0
Paulo Miranda,0,0,0,0,0,0,0,0,5.1,0.0,0.001
Paulo Victor,0,5.1,0,0,8.6,0,0,0,0.0,0.0,0.0
Pedro Geromel,8.3,0,7.1,2.2,0,0,3.8,-4,0.0,5.4,0.0
Pepê,3,8.8,5.9,10.3,3.1,0,11.1,0,0.0,0.0,0.0
Rildo,0,0,0,0,0,0,0,0,0.001,0.0,0.0
Robinho,0,0,0,0,0,0,5.9,-0.2,0.0,-3.2,-1.3
Rodrigues,0,0.3,0,0,0,0,0,0,5.0,0.0,0.0
Ruan,0,0.001,0,0,0,0,0,0,0.0,0.0,0.0
Thaciano,0.3,12.7,-0.5,0.001,-3.1,0,0,0,0.0,0.0,0.0
Vanderlei,8.2,0,4.7,-3.2,0,0,-4.1,-2.8,22.8,2.4,-2.4
Victor Ferraz,0,0,0,0,0,0,0,0,0.0,0.0,-3.3
