Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Abel Hernández,A,6.53,0,0,0,0
Amaya,A,1.0,0,0,0,0
Boschilia,M,7.12,0,0,0,0
Carlos Eduardo,Z,1.0,0,0,0,0
Cesinha,M,1.0,0,0,0,0
D'Alessandro,M,2.8,0,0,0,0
Daniel,G,2.0,0,0,0,0
Danilo Fernandes,G,6.0,0,0,0,0
Edenílson,M,7.62,0,0,0,0
Heitor,L,4.0,0,0,0,0
Johnny ,M,2.48,0,0,0,0
Keiller,G,2.0,0,0,0,0
Leandro Fernández,A,7.3,0,0,0,0
Leo Ferreira,A,1.45,0,0,0,0
Leonardo Borges,L,1.0,0,0,0,0
Lucas Ribeiro,Z,4.0,0,0,0,0
Marcelo Lomba,G,8.27,0,0,0,0
Marcos Guilherme ,M,2.87,0,0,0,0
Matheus Jussa,Z,2.32,0,0,0,0
Moisés,L,10.48,0,0,0,0
Musto,M,6.31,0,0,0,0
Nonato,M,4.55,0,0,0,0
Paolo Guerrero,A,20.81,0,0,0,0
Patrick,M,10.18,0,0,0,0
Pedro Henrique,Z,0.77,0,0,0,0
Peglow,M,1.74,0,0,0,0
Praxedes,M,0.77,0,0,0,0
Rodinei,L,4.36,0,0,0,0
Rodrigo Dourado,M,6.0,0,0,0,0
Rodrigo Lindoso,M,4.8,0,0,0,0
Rodrigo Moledo,Z,5.97,0,0,0,0
Saravia,L,18.78,0,0,0,0
Thiago Galhardo,M,16.85,0,0,0,0
Tiago Barbosa,Z,2.0,0,0,0,0
Uendel,L,4.0,0,0,0,0
Víctor Cuesta,Z,10.59,0,0,0,0
William Pottker,A,3.36,0,0,0,0
Yuri Alberto,A,2.16,0,0,0,0
Zé Gabriel,M,2.64,0,0,0,0
