Jogador,1,2,3,4,5,6,7,8,9,10,11
Abel Hernández,0,0,0,0,0,0,0,-0.1,1.2,3.3,0.2
Amaya,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Boschilia,0.4,6.7,-2.6,0,6.5,14.1,1,0.9,15.2,1.9,-3.7
Carlos Eduardo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cesinha,0,0,0,0,0,0,0,0,0.0,0.0,0.0
D'Alessandro,-0.1,1,0,0,0.9,-1.3,-0.1,4.5,0.001,1.0,-2.0
Daniel,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Danilo Fernandes,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Edenílson,0,8.8,-1.1,-0.6,4.4,-1.1,1.5,1.8,4.8,1.6,0.001
Heitor,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Johnny ,0,0,0,0,0,0,4.2,0.1,3.0,0.0,2.1
Keiller,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Leandro Fernández,0,0,0,0,0,0,0,0,0.0,3.4,0.8
Leo Ferreira,0,0,0,0,0,0,0,0,0.0,0.0,1.5
Leonardo Borges,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Ribeiro,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marcelo Lomba,4,4.6,-4.7,1.7,2.8,3.8,-3.1,-4.9,3.4,-2.1,-2.8
Marcos Guilherme ,1.4,0.001,1,1.2,-3.9,0.3,-0.8,1.9,0.0,-0.5,0.0
Matheus Jussa,0,0,0,2.4,0,0,-0.6,0,0.0,0.0,0.0
Moisés,8.1,3,1.5,4.4,3.8,10.5,0.3,0,6.3,-0.2,0.3
Musto,0,0.9,1.8,10.5,1.5,3.3,0,0,0.0,-0.9,2.9
Nonato,0,0,0,0,0,0,5.8,0,1.5,0.0,1.8
Paolo Guerrero,6.5,18.7,8.4,0,0,0,0,0,0.0,0.0,0.0
Patrick,-1.5,5.1,2.6,5.6,10.8,2.8,-0.7,11.9,1.9,0.0,0.001
Pedro Henrique,0,0,0,0,0,0,0,0,0.0,-1.0,0.0
Peglow,0,0,0.2,4.5,-0.1,0,0,0.5,-1.0,0.0,0.0
Praxedes,-1.9,0,0,0.7,0,0,-1.7,0,0.0,-2.9,0.0
Rodinei,0,0,0,5.3,0,0,5.2,-2.7,0.0,0.001,0.0
Rodrigo Dourado,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rodrigo Lindoso,0.6,0.3,9,-0.1,0.7,-1.4,0,0,0.0,1.4,2.5
Rodrigo Moledo,0,0,0,0,5,5.5,-1.3,0.001,4.8,0.001,3.6
Saravia,12.2,17.3,5.1,0,7.7,6.6,0,2.6,10.6,0.0,1.6
Thiago Galhardo,6.9,3.7,1.6,15.3,9,13.4,8.8,15,21.1,-1.6,0.0
Tiago Barbosa,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Uendel,0,0,0,0,0,0,0,4,0.0,0.0,0.0
Víctor Cuesta,4.4,8.9,-1.8,5.6,7.5,4.6,-1.6,-1.4,4.0,-1.5,0.0
William Pottker,2.3,0,0.001,-2.4,0,0,0,0,0.0,0.0,0.0
Yuri Alberto,0,0,-0.2,0,0,0,0,0,0.0,0.0,0.0
Zé Gabriel,0.5,0,2.3,1.9,0.8,1.8,0,-1.9,1.0,0.0,2.8
