Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Bruno Henrique,M,6.58,0,0,0,0
Danilo,M,2.51,0,0,0,0
Emerson Santos,Z,4.0,0,0,0,0
Esteves,L,2.0,0,0,0,0
Felipe Melo,Z,5.93,0,0,0,0
Gabriel Menino,M,4.93,0,0,0,0
Gabriel Silva,M,0.77,0,0,0,0
Gabriel Veron,A,5.73,0,0,0,0
Gustavo Gómez,Z,12.04,0,0,0,0
Gustavo Scarpa,M,6.76,0,0,0,0
Iván Angulo,A,4.0,0,0,0,0
Jailson,G,3.06,0,0,0,0
Luan,Z,5.59,0,0,0,0
Luan Silva,A,2.0,0,0,0,0
Lucas Lima,M,5.01,0,0,0,0
Luiz Adriano,A,10.8,0,0,0,0
Marcos Rocha,L,8.12,0,0,0,0
Mayke,L,5.55,0,0,0,0
Patrick de Paula,M,5.55,0,0,0,0
Ramires,M,5.08,0,0,0,0
Raphael Veiga,M,8.85,0,0,0,0
Renan,L,1.0,0,0,0,0
Rony,A,9.43,0,0,0,0
Vinicius Silvestre,G,3.0,0,0,0,0
Vitor Hugo,Z,4.15,0,0,0,0
Viña,L,8.06,0,0,0,0
Wesley,A,3.08,0,0,0,0
Weverton,G,6.7,0,0,0,0
Willian,A,9.77,0,0,0,0
Zé Rafael,M,10.89,0,0,0,0
