Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Aderlan,L,8.21,0,0,0,0
Alerrandro,A,13.48,0,0,0,0
Alex Alves,G,1.0,0,0,0,0
Artur,A,12.32,0,0,0,0
Barreto,M,3.5,0,0,0,0
Bruno Tubarão,M,5.71,0,0,0,0
Chrigor,A,2.25,0,0,0,0
Claudinho,A,12.47,0,0,0,0
Cleiton,G,0.77,0,0,0,0
Cuello,M,2.0,0,0,0,0
Edimar,L,3.95,0,0,0,0
Fabrício Bruno,Z,0.93,0,0,0,0
Haydar,Z,2.0,0,0,0,0
Hurtado,A,2.13,0,0,0,0
Júlio César,G,5.37,0,0,0,0
Leandrinho,A,2.39,0,0,0,0
Ligger,Z,3.66,0,0,0,0
Luan Cândido,L,0.9,0,0,0,0
Lucas Evangelista,M,5.01,0,0,0,0
Luis Phelipe,A,4.76,0,0,0,0
Léo Ortiz,Z,8.55,0,0,0,0
Matheus Jesus,M,4.54,0,0,0,0
Morato,A,2.12,0,0,0,0
Raul,M,7.55,0,0,0,0
Realpe,Z,3.3,0,0,0,0
Ricardo Ryller,M,3.45,0,0,0,0
Robinho,A,2.03,0,0,0,0
Thonny Anderson,M,6.0,0,0,0,0
Uillian Correia,M,2.92,0,0,0,0
Vitinho,M,3.0,0,0,0,0
Weverson,L,0.76,0,0,0,0
Weverton,L,1.19,0,0,0,0
Ytalo,A,4.92,0,0,0,0
