Jogador,1,2,3,4,5,6,7,8,9,10,11
Aderlan,7.4,2.9,0.9,6.3,2.4,-3.2,0.5,0.9,2.2,-0.2,-0.1
Alerrandro,0.8,10.7,2.3,11.5,8.3,0,0,4.5,0.4,7.6,17.7
Alex Alves,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Artur,5.8,6.4,2.3,-1,2.8,4.5,0.4,0.8,5.5,6.0,2.9
Barreto,0,0,0,0.9,0,0.2,0,0,0.0,0.9,0.0
Bruno Tubarão,-0.5,0.7,2.1,-0.2,0,1.7,1.1,-0.7,1.1,0.0,19.6
Chrigor,0,0,0,0,0,2.4,0,0,0.0,0.0,0.0
Claudinho,7.4,6.5,3,5.4,7.9,0,11.5,6.7,-4.1,1.9,-0.9
Cleiton,-2.7,-1.8,-0.3,5.1,-4.6,-2,1.2,-5.2,-3.7,0.0,0.0
Cuello,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Edimar,0.6,2.8,3.7,-2.8,-1.7,0,5.7,1.9,-2.5,3.4,0.0
Fabrício Bruno,-0.9,-0.4,0,3.4,-3.7,0,0,0,0.0,0.0,0.0
Haydar,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hurtado,0,0,0,0,0,2.7,-0.7,-0.6,0.0,0.001,0.001
Júlio César,0,0,0,0,0,0,0,0,0.0,5.3,2.5
Leandrinho,0,0,0,0,0,0.4,1.3,0.3,0.0,0.0,0.0
Ligger,0,0,2.8,0,-0.6,0,0,-1.1,0.001,0.0,5.0
Luan Cândido,0,0,0,0,0,0,0,0,0.0,0.0,-3.0
Lucas Evangelista,0,0,0,-2.6,3.1,2.9,-0.5,0,1.4,8.2,8.3
Luis Phelipe,0,0,0,8.9,2,0.4,0,0,0.0,0.0,3.1
Léo Ortiz,1.6,3.6,12.4,-0.9,-1.2,2.8,2.3,0.001,1.4,3.4,8.9
Matheus Jesus,1.9,2.7,-0.9,-0.9,-2.7,0,6.8,-0.2,1.1,0.0,1.2
Morato,-0.4,2.3,3.4,-0.6,1.3,-0.4,-0.5,-3.8,0.0,0.0,0.0
Raul,0,0,0,0,0,0,0,0,11.6,4.6,5.9
Realpe,0,0,0,0,0,-0.1,1.6,0,0.001,1.9,0.0
Ricardo Ryller,3.1,-0.2,-1.1,0,6.2,1.9,3.8,0.8,-3.8,1.5,-0.1
Robinho,-0.1,0,1.2,5.5,1.3,0,0,0,0.0,-0.6,0.0
Thonny Anderson,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Uillian Correia,0,0,0,0,0,0,-0.5,0.9,0.001,0.0,0.0
Vitinho,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Weverson,-0.3,-0.2,-0.2,0.3,0,-5.7,0,0,0.0,0.0,0.9
Weverton,0,0.001,-0.1,0,0,0.4,0,0,0.0,0.0,0.0
Ytalo,1.4,2.1,0.001,0,0,0,1.1,6.6,0.001,0.0,0.0
