Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Alex,Z,2.76,0,0,0,0
Alison,M,8.75,0,0,0,0
Anderson Ceará,M,2.0,0,0,0,0
Arthur Gomes,A,4.44,0,0,0,0
Carlos Sánchez,M,6.29,0,0,0,0
Copete,A,4.0,0,0,0,0
Derick ,Z,0.77,0,0,0,0
Diego Pituca,M,7.91,0,0,0,0
Felipe Jonatan,L,12.21,0,0,0,0
Ivonei,M,1.08,0,0,0,0
Jean Mota,M,3.61,0,0,0,0
Jobson,M,3.83,0,0,0,0
John Victor,G,1.0,0,0,0,0
João Paulo,G,8.92,0,0,0,0
Kaio Jorge,A,4.03,0,0,0,0
Luan Peres ,Z,6.66,0,0,0,0
Lucas Braga,A,2.98,0,0,0,0
Lucas Lourenço,M,2.36,0,0,0,0
Lucas Veríssimo,Z,8.29,0,0,0,0
Luiz Felipe,Z,4.39,0,0,0,0
Madson,L,5.14,0,0,0,0
Marcos Leonardo,A,0.77,0,0,0,0
Marinho,A,23.26,0,0,0,0
Matheus Moraes,M,1.0,0,0,0,0
Pará,L,8.41,0,0,0,0
Raniel,A,5.7,0,0,0,0
Sandry,M,2.0,0,0,0,0
Soteldo,A,7.11,0,0,0,0
Tailson,A,2.68,0,0,0,0
Uribe,A,3.33,0,0,0,0
Vladimir,G,6.43,0,0,0,0
Wagner Leonardo,Z,1.94,0,0,0,0
