Jogador,1,2,3,4,5,6,7,8,9,10,11
Alex,0,0,1.5,4.8,0,0,0,4.9,1.9,0.0,0.0
Alison,8.8,3.7,3.8,-1.3,-0.6,0,-1.8,-2.9,0.0,0.6,0.0
Anderson Ceará,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Arthur Gomes,0,0,0,0,0,0,-0.1,4.9,7.8,-0.8,3.6
Carlos Sánchez,-3.8,4.1,2.5,1.5,0.5,2,3.2,0.1,0.4,5.6,4.2
Copete,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Derick ,0,0,0,0,0,0,0,0,0.001,0.0,0.0
Diego Pituca,1.8,0.6,4.2,3.9,-2.9,6.8,5.6,1.5,4.2,2.5,3.2
Felipe Jonatan,3.4,0.5,11.3,11.8,2.1,3.7,1.4,15.4,2.3,0.0,6.2
Ivonei,0,0.9,0,0,0,-0.7,0,0,1.6,0.0,1.0
Jean Mota,-0.2,0,0,3,0,2.4,0.001,0,0.0,-0.2,1.9
Jobson,0,1.8,0.5,5.6,-0.3,-2.3,-0.3,1,0.2,0.0,0.0
John Victor,0,0,0,0,0,0,0,0,0.0,0.0,0.0
João Paulo,0,0,1.5,21.6,7.7,5.5,-4.1,16,9.3,-1.2,4.7
Kaio Jorge,1,0.2,3.8,2.7,-0.1,0.001,1.3,-1.8,0.0,0.0,2.9
Luan Peres ,1.1,1.5,6.1,5.9,-0.4,1,3.9,-0.5,0.0,-1.9,7.3
Lucas Braga,0,0,0,3.3,3.1,0.1,0.5,-4.8,0.3,5.1,0.0
Lucas Lourenço,0,0,0,0,0,0,0,0,0.0,1.9,0.8
Lucas Veríssimo,3.4,-1.3,0.9,0,0.5,-2.9,8.2,6.4,0.0,1.0,5.4
Luiz Felipe,0,-0.1,0,0,0,0,0,0,0.0,0.0,0.0
Madson,0,-0.4,0,0,1.2,-2,0,5,4.5,8.1,4.7
Marcos Leonardo,0,0,0,-0.5,0.001,0,0,0,0.0,0.4,0.0
Marinho,11.7,6.2,23,13.9,3.8,6.9,11.5,9.7,18.0,10.1,4.3
Matheus Moraes,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Pará,4.2,-1.5,4.4,6.4,0.5,0.4,1.7,7.3,0.0,0.0,5.2
Raniel,0,0,0,0,0,4.2,4.2,0,0.0,0.0,3.6
Sandry,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Soteldo,0.3,-0.8,10.7,0.4,1.8,-0.3,9.2,0,5.2,2.0,0.0
Tailson,0,1.4,0.001,1.7,0.7,0,0,0,0.0,0.0,2.0
Uribe,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0
Vladimir,1.2,3.9,3.7,0,0,0,0,0,0.0,0.0,0.0
Wagner Leonardo,0,0,0,0,0,0,0,0,2.9,0.9,0.0
