Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Arboleda,Z,10.07,0,0,0,0
Brenner,A,4.26,0,0,0,0
Bruno Alves,Z,7.83,0,0,0,0
Daniel Alves,M,13.99,0,0,0,0
Diego,Z,2.69,0,0,0,0
Gabriel Sara,M,5.79,0,0,0,0
Gonzalo Carneiro,A,3.01,0,0,0,0
Helinho,A,4.08,0,0,0,0
Hernanes,M,8.55,0,0,0,0
Igor Gomes,M,3.17,0,0,0,0
Igor Vinícius,L,5.56,0,0,0,0
Joao Rojas,A,6.0,0,0,0,0
Juanfran,L,6.21,0,0,0,0
Júnior,G,1.0,0,0,0,0
Liziero,M,4.4,0,0,0,0
Luan,M,3.31,0,0,0,0
Lucas Perri,G,1.1,0,0,0,0
Luciano,A,7.73,0,0,0,0
Léo,L,4.61,0,0,0,0
Pablo,A,8.36,0,0,0,0
Patryck,L,1.0,0,0,0,0
Paulinho Bóia,A,5.48,0,0,0,0
Reinaldo,L,13.31,0,0,0,0
Rodrigo Freitas,Z,1.0,0,0,0,0
Rodrigo Nestor,M,2.0,0,0,0,0
Shaylon,M,3.0,0,0,0,0
Tchê Tchê,M,8.18,0,0,0,0
Thiago Couto,G,1.0,0,0,0,0
Tiago Volpi,G,12.83,0,0,0,0
Toró,A,3.7,0,0,0,0
Tréllez,A,4.0,0,0,0,0
Vitor Bueno,M,7.45,0,0,0,0
Walce,Z,4.0,0,0,0,0
