Jogador,1,2,3,4,5,6,7,8,9,10,11
Arboleda,0,4.5,-3.2,3.6,5,0,0,0,0.0,0.0,0.0
Brenner,0,0,0,0,0,8.2,1.4,14.1,-1.4,0.001,0.0
Bruno Alves,0,3.7,0.001,2.8,0,0.001,0,0.001,0.0,0.0,0.0
Daniel Alves,0,16.4,1.8,1.2,4,0,0,0,0.0,0.0,0.0
Diego,0,0,0,0,1.3,-1,1.7,0.9,3.2,3.8,0.0
Gabriel Sara,0,0.5,-0.9,-1.6,-0.3,1.7,0.3,0.6,1.0,19.9,0.0
Gonzalo Carneiro,0,0,0.001,6.8,0,0,0,0,-1.0,0.0,0.0
Helinho,0,0,0.5,1.8,0,0,0,0,5.4,0.0,0.0
Hernanes,0,0,0,0,0,8.9,2.3,1.1,2.4,1.0,0.0
Igor Gomes,0,-2.1,-0.7,-0.2,1.1,1.2,0.6,0.8,0.8,0.6,0.0
Igor Vinícius,0,0,0.7,-0.3,6.5,3.6,2.2,-0.8,0.0,3.3,0.0
Joao Rojas,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Juanfran,0,7.8,1.5,0,0,0,0,-0.6,0.9,0.0,0.0
Júnior,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Liziero,0,-1.4,1.5,2.4,0,1.5,1.1,0,0.0,0.0,0.0
Luan,0,0.001,0,0,2.8,-0.2,0,-0.5,0.0,-0.6,0.0
Lucas Perri,0,0,0,0,0,0,0,0,-2.0,0.0,0.0
Luciano,0.9,0,0,9.3,7.3,0.8,4.1,10.5,10.2,-0.7,0.0
Léo,0,0,0,-0.1,5.6,0.9,4.7,4.5,-2.0,3.0,0.0
Pablo,0,1.5,0.4,1.6,7.2,4.3,1.6,0,0.0,0.0,0.0
Patryck,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Paulinho Bóia,0,0.5,6.6,0,0,5,9,1.4,2.4,2.2,0.0
Reinaldo,0,11,8.6,4.4,6.3,0,0,-0.6,1.4,2.5,0.0
Rodrigo Freitas,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rodrigo Nestor,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Shaylon,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tchê Tchê,0,4.9,2.8,0.4,3.1,2.9,1.8,1.6,-1.4,3.6,0.0
Thiago Couto,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tiago Volpi,0,12.2,-0.5,12.6,4,1.3,-8.4,1.6,-1.1,2.9,0.0
Toró,0,0,0,0,0,5,0.9,0,0.0,0.0,0.0
Tréllez,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Vitor Bueno,0,0,0,1.9,-0.4,0,0.6,12.1,2.8,1.6,0.0
Walce,0,0,0,0,0,0,0,0,0.0,0.0,0.0
