Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Adryelson,Z,4.37,0,0,0,0
Alê Santos,M,2.0,0,0,0,0
Betinho,M,4.89,0,0,0,0
Bruninho,M,4.12,0,0,0,0
Carlos Eduardo,G,2.0,0,0,0,0
Chico,Z,2.3,0,0,0,0
Elias Lira,L,1.0,0,0,0,0
Hernane,A,3.48,0,0,0,0
Iago Maidana,Z,7.04,0,0,0,0
Jonatan Gomez,M,10.95,0,0,0,0
João Igor,M,1.93,0,0,0,0
Leandro Barcia,A,5.41,0,0,0,0
Luan Polli ,G,4.97,0,0,0,0
Lucas Mugni,M,4.19,0,0,0,0
Lucas Venuto,A,2.16,0,0,0,0
Luciano Juba,L,2.85,0,0,0,0
Marcos Serrato,M,3.0,0,0,0,0
Marcão Silva,M,4.42,0,0,0,0
Marquinhos,A,6.1,0,0,0,0
Maxwell,A,2.54,0,0,0,0
Maílson,G,1.89,0,0,0,0
Patric,L,9.52,0,0,0,0
Pedrão,Z,1.0,0,0,0,0
Philip,M,1.38,0,0,0,0
Rafael Thyere,Z,4.0,0,0,0,0
Raul Prata,L,5.0,0,0,0,0
Ricardinho,M,3.65,0,0,0,0
Rogério,A,4.36,0,0,0,0
Ronaldo Henrique,M,3.01,0,0,0,0
Ronaldo Silva,A,0.81,0,0,0,0
Sander,L,8.24,0,0,0,0
Thiago Neves,M,3.66,0,0,0,0
Túlio,G,1.0,0,0,0,0
Ítalo,M,1.0,0,0,0,0
