Jogador,1,2,3,4,5,6,7,8,9,10,11
Adryelson,-0.1,3.1,-0.6,-3.6,0.2,0,2.4,0.8,1.7,3.8,7.0
Alê Santos,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Betinho,3.3,-0.6,0.7,0.8,0.8,1.9,5.6,2.6,2.0,0.0,2.9
Bruninho,0,4.5,3.9,1.2,0.3,0,0,0,3.6,1.0,0.001
Carlos Eduardo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Chico,0,0,0,0,0.6,0.3,0.001,0,0.0,0.0,4.5
Elias Lira,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hernane,0.5,-1.5,0.001,0.4,-0.1,-0.6,0,0.4,0.001,0.2,9.2
Iago Maidana,1.9,-0.3,9.6,-2.5,-0.2,1.6,9.1,0.8,-1.5,8.5,5.9
Jonatan Gomez,9.5,4.8,1.2,0.4,0.5,3,2,1.8,0.001,0.0,0.0
João Igor,0.001,0,0,0,0,0,0,0,0.0,0.001,-1.1
Leandro Barcia,0,0,0,0,0,0.6,-2.7,9.4,1.3,1.0,0.2
Luan Polli ,0,0,0,0,0,0,1.5,-3,-3.6,-5.2,8.0
Lucas Mugni,0.3,0,0,0,0.3,0.9,1.7,-0.6,0.0,11.9,5.4
Lucas Venuto,0,1.7,0.2,0,4.2,0,-0.1,0,0.001,0.0,0.4
Luciano Juba,0,0,-0.8,-1.2,0,0.3,-2.7,4.9,5.4,1.1,8.0
Marcos Serrato,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marcão Silva,0,0,0,0,0,0.8,-0.5,-0.5,0.0,1.9,4.9
Marquinhos,0.8,2.7,4.3,4.5,2.3,5.1,3.9,8,3.2,-0.5,0.0
Maxwell,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Maílson,2.5,-4.6,2.4,0.4,6.1,-5.2,0,0,0.0,0.0,0.0
Patric,5.3,0.1,0.9,1.2,4.1,1.8,11.1,5.6,4.7,0.1,8.2
Pedrão,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Philip,0,0,0,-0.4,0,0,0,0,0.0,0.0,0.0
Rafael Thyere,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Raul Prata,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ricardinho,0,0,-1.2,1.9,1.3,1.1,1.7,1.4,5.2,1.2,4.5
Rogério,0,0,0,0,0,0,0,0,0.5,4.4,1.8
Ronaldo Henrique,0,0,0,0,0,5.1,-1.3,2.4,-1.7,-1.1,0.0
Ronaldo Silva,0,-6,0,-1.5,0.9,0,0,0,0.0,0.0,0.0
Sander,4.3,9.1,-0.3,0.4,5,4.5,0,-0.8,0.0,-3.5,0.0
Thiago Neves,0.001,-0.2,0,-0.2,-0.6,0,1.5,0,0,0,0.0
Túlio,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ítalo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
