Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Alexander,G,3.0,0,0,0,0
Alexandre Melo,L,2.0,0,0,0,0
Andrey,M,6.48,0,0,0,0
Andrey dos Santos,M,1.0,0,0,0,0
Benítez,M,8.69,0,0,0,0
Breno,Z,6.0,0,0,0,0
Bruno César,M,3.51,0,0,0,0
Bruno Gomes,M,3.32,0,0,0,0
Cano,A,13.29,0,0,0,0
Carlinhos,M,4.16,0,0,0,0
Cayo Tenório,L,4.88,0,0,0,0
Fellipe Bastos,M,10.47,0,0,0,0
Fernando Miguel,G,8.22,0,0,0,0
Gabriel Pec,M,2.88,0,0,0,0
Guarín,M,11.0,0,0,0,0
Guilherme Parede,A,2.28,0,0,0,0
Henrique,L,7.53,0,0,0,0
Juninho,M,2.5,0,0,0,0
Kaio Magno,A,2.0,0,0,0,0
Leandro Castan,Z,14.47,0,0,0,0
Lucas Santos,M,1.68,0,0,0,0
Lucão,G,2.0,0,0,0,0
Marcelo Alves,Z,1.67,0,0,0,0
Marcos Júnior,M,3.36,0,0,0,0
Miranda,Z,3.7,0,0,0,0
Nathan,L,1.0,0,0,0,0
Neto Borges,L,3.79,0,0,0,0
Ramon,L,7.0,0,0,0,0
Ribamar,A,4.5,0,0,0,0
Ricardo,Z,7.55,0,0,0,0
Riquelme,L,1.0,0,0,0,0
Talles Magno,A,10.69,0,0,0,0
Tiago Reis,A,3.0,0,0,0,0
Ulisses,Z,2.0,0,0,0,0
Vinícius,A,2.54,0,0,0,0
Werley,Z,4.0,0,0,0,0
Yago Pikachu,L,7.62,0,0,0,0
Ygor Catatau,A,2.75,0,0,0,0
